timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
45700;3904.0;856.0;3048.0
45800;3904.0;856.0;3048.0
45900;3904.0;856.0;3048.0
46000;3910.0;862.0;3048.0
46100;4027.0;859.0;3168.0
46200;3907.0;859.0;3048.0
46300;3892.0;844.0;3048.0
46400;3904.0;856.0;3048.0
46500;4052.0;844.0;3208.0
46600;3996.0;868.0;3128.0
46700;4002.0;874.0;3128.0
46800;3402.0;874.0;2528.0
46900;4002.0;874.0;3128.0
47000;4026.0;898.0;3128.0
47100;4107.0;859.0;3248.0
47200;4011.0;883.0;3128.0
47300;4027.0;859.0;3168.0
47400;4002.0;874.0;3128.0
47500;4042.0;874.0;3168.0
47600;4088.0;880.0;3208.0
47700;4088.0;880.0;3208.0
47800;4094.0;886.0;3208.0
47900;4082.0;874.0;3208.0
48000;4076.0;868.0;3208.0
48100;4516.0;868.0;3648.0
48200;4076.0;868.0;3208.0
48300;4076.0;868.0;3208.0
48400;4085.0;877.0;3208.0
48500;4131.0;883.0;3248.0
48600;4168.0;880.0;3288.0
48700;4282.0;874.0;3408.0
48800;4042.0;874.0;3168.0
48900;4048.0;880.0;3168.0
49000;4168.0;880.0;3288.0
49100;4168.0;880.0;3288.0
49200;4291.0;883.0;3408.0
49300;4045.0;877.0;3168.0
49400;4187.5;899.5;3288.0
49500;4070.0;862.0;3208.0
49600;4070.0;862.0;3208.0
49700;4100.0;892.0;3208.0
49800;4237.5;869.5;3368.0
49900;4237.5;869.5;3368.0
50000;4260.0;892.0;3368.0
50100;4140.0;892.0;3248.0
50200;4140.0;892.0;3248.0
50300;4267.5;899.5;3368.0
50400;4252.5;884.5;3368.0
50500;4285.0;877.0;3408.0
50600;4165.0;877.0;3288.0
50700;4325.0;877.0;3448.0
50800;4325.0;877.0;3448.0
50900;4360.0;912.0;3448.0
51000;4325.0;877.0;3448.0
51100;4350.0;902.0;3448.0
51200;4230.0;902.0;3328.0
51300;4360.0;912.0;3448.0
51400;4240.0;912.0;3328.0
51500;4380.0;892.0;3488.0
51600;4440.0;912.0;3528.0
51700;4430.0;902.0;3528.0
51800;4430.0;902.0;3528.0
51900;4440.0;912.0;3528.0
52000;4440.0;912.0;3528.0
52100;4320.0;912.0;3408.0
52200;4425.0;897.0;3528.0
52300;4455.0;927.0;3528.0
52400;4440.0;912.0;3528.0
52500;4600.0;912.0;3688.0
52600;5040.0;912.0;4128.0
52700;4370.0;922.0;3448.0
52800;4520.0;912.0;3608.0
52900;4520.0;912.0;3608.0
53000;4640.0;912.0;3728.0
53100;4490.0;882.0;3608.0
53200;4945.0;897.0;4048.0
53300;4390.0;902.0;3488.0
53400;4390.0;902.0;3488.0
53500;4680.0;912.0;3768.0
53600;3960.0;912.0;3048.0
53700;4720.0;912.0;3808.0
53800;4585.0;897.0;3688.0
53900;4590.0;902.0;3688.0
54000;4485.0;917.0;3568.0
54100;4590.0;902.0;3688.0
54200;4480.0;912.0;3568.0
54300;4490.0;922.0;3568.0
54400;4610.0;922.0;3688.0
54500;4640.0;912.0;3728.0
54600;4746.0;978.0;3768.0
54700;4740.0;972.0;3768.0
54800;4740.0;972.0;3768.0
54900;4852.0;964.0;3888.0
55000;4852.0;964.0;3888.0
55100;4736.0;968.0;3768.0
55200;4744.0;976.0;3768.0
55300;4904.0;976.0;3928.0
55400;4740.0;972.0;3768.0
55500;4780.0;972.0;3808.0
55600;4820.0;972.0;3848.0
55700;4974.0;966.0;4008.0
55800;4814.0;966.0;3848.0
55900;4816.0;968.0;3848.0
56000;4816.0;968.0;3848.0
56100;4690.0;962.0;3728.0
56200;4808.0;960.0;3848.0
56300;4692.0;964.0;3728.0
56400;4822.0;974.0;3848.0
56500;4862.0;974.0;3888.0
56600;5022.0;974.0;4048.0
56700;4728.0;960.0;3768.0
56800;4768.0;960.0;3808.0
56900;4768.0;960.0;3808.0
57000;4774.0;966.0;3808.0
57100;4772.0;964.0;3808.0
57200;4892.0;964.0;3928.0
57300;4904.0;976.0;3928.0
57400;4904.0;976.0;3928.0
57500;4932.0;964.0;3968.0
57600;4974.0;966.0;4008.0
57700;4966.0;958.0;4008.0
57800;4972.0;964.0;4008.0
57900;4858.0;970.0;3888.0
58000;4976.0;968.0;4008.0
58100;4849.0;961.0;3888.0
58200;4996.5;988.5;4008.0
58300;4999.0;991.0;4008.0
58400;5020.0;1012.0;4008.0
58500;5060.0;1012.0;4048.0
58600;5048.0;1000.0;4048.0
58700;5100.0;1012.0;4088.0
58800;4980.0;1012.0;3968.0
58900;4980.0;1012.0;3968.0
59000;5108.0;1020.0;4088.0
59100;5108.0;1020.0;4088.0
59200;5572.0;1044.0;4528.0
59300;5132.0;1044.0;4088.0
59400;5108.0;1020.0;4088.0
59500;5171.0;1043.0;4128.0
59600;5220.0;1052.0;4168.0
59700;4996.0;1028.0;3968.0
59800;5223.0;1055.0;4168.0
59900;5085.0;1037.0;4048.0
60000;5214.0;1046.0;4168.0
60100;5208.0;1040.0;4168.0
60200;5217.0;1049.0;4168.0
60300;5031.0;983.0;4048.0
60400;5226.0;1058.0;4168.0
60500;5266.0;1058.0;4208.0
60600;5336.0;1088.0;4248.0
60700;5321.0;1073.0;4248.0
60800;5313.5;1065.5;4248.0
60900;5321.0;1073.0;4248.0
61000;5321.0;1073.0;4248.0
61100;5321.0;1073.0;4248.0
61200;5441.0;1073.0;4368.0
61300;5321.0;1073.0;4248.0
61400;5321.0;1073.0;4248.0
61500;5361.0;1073.0;4288.0
61600;5400.0;952.0;4448.0
61700;5413.0;1085.0;4328.0
61800;5384.5;1056.5;4328.0
61900;5384.5;1056.5;4328.0
62000;5436.0;1108.0;4328.0
62100;5296.5;1088.5;4208.0
62200;5436.0;1108.0;4328.0
62300;5436.0;1108.0;4328.0
62400;5436.0;1108.0;4328.0
62500;5476.0;1108.0;4368.0
62600;5522.5;1114.5;4408.0
62700;5623.0;1095.0;4528.0
62800;5516.0;1108.0;4408.0
62900;5396.0;1108.0;4288.0
63000;5529.0;1121.0;4408.0
63100;5529.0;1121.0;4408.0
63200;5649.0;1121.0;4528.0
63300;5509.5;1101.5;4408.0
63400;5542.0;1134.0;4408.0
63500;5449.0;1121.0;4328.0
63600;5609.0;1121.0;4488.0
63700;5450.0;1122.0;4328.0
63800;5595.0;1107.0;4488.0
63900;5475.0;1107.0;4368.0
64000;5610.0;1122.0;4488.0
64100;5610.0;1122.0;4488.0
64200;5595.0;1107.0;4488.0
64300;5155.0;1107.0;4048.0
64400;5475.0;1107.0;4368.0
64500;5635.0;1107.0;4528.0
64600;5635.0;1107.0;4528.0
64700;5690.0;1122.0;4568.0
64800;5810.0;1122.0;4688.0
64900;5594.0;1146.0;4448.0
65000;5708.5;1140.5;4568.0
65100;5703.0;1135.0;4568.0
65200;5703.0;1135.0;4568.0
65300;5717.0;1149.0;4568.0
65400;5736.5;1168.5;4568.0
65500;5877.0;1149.0;4728.0
65600;5823.0;1175.0;4648.0
65700;5810.0;1162.0;4648.0
65800;5803.5;1155.5;4648.0
65900;5823.0;1175.0;4648.0
66000;5790.5;1142.5;4648.0
66100;5810.0;1162.0;4648.0
66200;5810.0;1162.0;4648.0
66300;5829.5;1181.5;4648.0
66400;5970.0;1162.0;4808.0
66500;5710.5;1142.5;4568.0
66600;5903.0;1175.0;4728.0
66700;5890.0;1162.0;4728.0
66800;5916.0;1188.0;4728.0
66900;5903.0;1175.0;4728.0
