rank,name,family,lookback,entry,exit,direction,target,total_pnl,day0,day1,day2,max_abs_pos,turnover,fills,time_at_limit_pct
1109,ema_diff_revert,ema_diff,100,3.0,0.0,-1,100,-2727384.0,-922230.0,-912783.0,-892371.0,100,87195,5005,86.27
1110,mid_z_revert,mid_z,50,1.25,0.5,-1,100,-2742719.0,-1241832.0,-605146.0,-895741.0,100,185457,11162,52.9
1111,ema_diff_revert,ema_diff,50,8.0,0.0,-1,150,-2745821.0,-1339266.0,-525308.0,-881247.0,150,59259,3332,69.91
1112,ema_diff_revert,ema_diff,20,5.0,0.0,-1,100,-2753961.0,-933216.0,-931251.0,-889494.0,100,90835,5230,67.62
1113,momentum_revert,momentum,100,6.0,0.0,-1,200,-2769833.0,-1880871.0,-1884785.0,995823.0,200,81196,4519,65.14
1114,momentum_revert,momentum,20,6.0,0.0,-1,150,-2771182.0,-1459082.0,-318892.0,-993208.0,150,99060,5606,29.13
1115,mid_z_revert,mid_z,50,1.25,0.0,-1,100,-2771855.0,-943605.0,-940532.0,-887718.0,100,92897,5355,83.24
1116,mid_z_trend,mid_z,10,0.75,0.25,1,200,-2780098.0,-424736.0,-1936815.0,-418547.0,200,625630,34475,29.78
1117,ema_diff_revert,ema_diff,10,1.0,0.0,-1,50,-2785534.0,-1025482.0,-817394.0,-942658.0,50,265710,15969,74.3
1118,mid_z_trend,mid_z,10,1.0,0.25,1,100,-2789768.0,-741878.0,-1319282.0,-728608.0,100,422576,24175,44.6
1119,mid_z_revert,mid_z,100,1.25,0.25,-1,100,-2796031.0,-959175.0,-936754.0,-900102.0,100,94297,5672,62.38
1120,mid_z_trend,mid_z,10,0.75,0.25,1,50,-2822509.0,-906960.0,-999064.0,-916485.0,50,324922,19886,64.19
1121,mid_z_revert,mid_z,20,2.0,0.0,-1,100,-2857733.0,-968301.0,-971362.0,-918070.0,100,101675,5843,56.3
1122,ema_diff_revert,ema_diff,200,2.0,0.0,-1,200,-2863582.0,-2038363.0,-2040429.0,1215210.0,200,133909,7466,84.03
1123,mid_z_revert,mid_z,10,1.5,0.5,-1,50,-2879211.0,-1040129.0,-864165.0,-974917.0,50,279222,18083,42.33
1124,mid_z_trend,mid_z,10,1.25,0.5,1,200,-2893114.0,-244125.0,-1841632.0,-807357.0,200,581629,32233,16.52
1125,mid_z_revert,mid_z,50,1.0,0.0,-1,100,-2895745.0,-981133.0,-980459.0,-934153.0,100,104143,6003,83.22
1126,mid_z_trend,mid_z,20,1.25,0.5,1,200,-2904187.0,86064.0,-1499233.0,-1491018.0,200,478391,26642,29.27
1127,mid_z_trend,mid_z,20,1.25,0.5,1,150,-2906668.0,-222437.0,-1314141.0,-1370090.0,150,419263,23497,36.13
1128,mid_z_revert,mid_z,20,0.75,0.5,-1,50,-2946944.0,-1081139.0,-888271.0,-977534.0,50,286936,18572,61.36
1129,ema_diff_revert,ema_diff,100,2.0,0.0,-1,100,-2949111.0,-986063.0,-988781.0,-974267.0,100,110597,6348,85.7
1130,momentum_revert,momentum,100,4.0,0.0,-1,200,-2951010.0,-1944647.0,-1942378.0,936015.0,200,100612,5597,72.52
1131,mid_z_revert,mid_z,100,1.0,0.25,-1,100,-2951551.0,-1012630.0,-989832.0,-949089.0,100,110481,6615,66.53
1132,mid_z_revert,mid_z,100,1.25,0.0,-1,150,-2959635.0,-1380666.0,-1360031.0,-218938.0,150,73856,4143,85.38
1133,mid_z_revert,mid_z,200,1.0,0.5,-1,200,-2961814.0,-2095107.0,-416643.0,-450064.0,200,147569,8458,56.78
1134,mid_z_revert,mid_z,20,1.5,0.25,-1,100,-2966207.0,-1428234.0,-759107.0,-778866.0,100,243791,14344,46.82
1135,mid_z_trend,mid_z,20,1.0,0.5,1,100,-2967436.0,-581077.0,-1179431.0,-1206928.0,100,376507,21974,48.68
1136,mid_z_revert,mid_z,100,1.25,0.5,-1,100,-2969089.0,-1025483.0,-990801.0,-952805.0,100,113471,6886,55.73
1137,mid_z_revert,mid_z,50,1.25,0.25,-1,100,-2971287.0,-1145242.0,-763579.0,-1062466.0,100,154851,9217,60.07
1138,ema_diff_revert,ema_diff,50,3.0,0.0,-1,100,-3009329.0,-1015205.0,-1011279.0,-982845.0,100,116259,6695,81.4
1139,mid_z_revert,mid_z,10,1.0,0.25,-1,50,-3012596.0,-1094604.0,-897649.0,-1020343.0,50,291006,18245,60.79
1140,momentum_revert,momentum,50,2.0,0.0,-1,100,-3054745.0,-1020051.0,-1020151.0,-1014543.0,100,121119,7010,78.76
1141,mid_z_revert,mid_z,50,0.75,0.0,-1,100,-3055547.0,-1043437.0,-1032290.0,-979820.0,100,119183,6853,83.59
1142,ema_diff_revert,ema_diff,20,3.0,0.0,-1,100,-3058329.0,-1152222.0,-800688.0,-1105419.0,100,158143,9116,69.69
1143,mid_z_trend,mid_z,10,1.0,0.5,1,50,-3068695.0,-984045.0,-1078001.0,-1006649.0,50,352438,22215,51.45
1144,mid_z_trend,mid_z,10,1.5,0.5,1,100,-3073038.0,-657258.0,-1305412.0,-1110368.0,100,402445,23311,28.3
1145,mid_z_revert,mid_z,100,2.0,0.25,-1,150,-3074733.0,-1419387.0,-1403877.0,-251469.0,150,84808,4858,42.9
1146,mid_z_trend,mid_z,20,0.75,0.5,1,100,-3080876.0,-746920.0,-1360239.0,-973717.0,100,427106,24815,52.51
1147,momentum_revert,momentum,50,6.0,0.0,-1,150,-3107638.0,-1430864.0,-1414939.0,-261835.0,150,87698,4940,55.47
1148,mid_z_revert,mid_z,20,1.0,0.0,-1,100,-3128879.0,-1304078.0,-933566.0,-891235.0,100,202846,11678,70.84
1149,mid_z_trend,mid_z,10,1.0,0.5,1,200,-3143258.0,-535620.0,-2086485.0,-521153.0,200,663198,36690,20.55
1150,mid_z_revert,mid_z,100,2.0,0.5,-1,150,-3152155.0,-1447630.0,-1426269.0,-278256.0,150,93598,5403,36.77
1151,mid_z_revert,mid_z,100,0.75,0.25,-1,100,-3166626.0,-1084927.0,-1054024.0,-1027675.0,100,132995,7935,71.2
1152,mid_z_trend,mid_z,10,0.75,0.25,1,150,-3168475.0,-717139.0,-1759196.0,-692140.0,150,564068,31307,37.38
1153,ema_diff_revert,ema_diff,200,1.0,0.0,-1,200,-3178437.0,-2125269.0,-2149872.0,1096704.0,200,165913,9244,83.49
1154,mid_z_revert,mid_z,50,1.5,0.5,-1,150,-3186871.0,-1818548.0,-707961.0,-660362.0,150,213605,12262,43.8
1155,momentum_revert,momentum,20,2.0,0.0,-1,100,-3189343.0,-1283716.0,-1285157.0,-620470.0,100,196628,11371,67.26
1156,mid_z_revert,mid_z,50,2.0,0.25,-1,150,-3190218.0,-1584346.0,-832209.0,-773663.0,150,137013,7801,36.69
1157,mid_z_revert,mid_z,50,1.0,0.25,-1,100,-3207997.0,-1220085.0,-828889.0,-1159023.0,100,175822,10425,64.04
1158,mid_z_revert,mid_z,10,1.25,0.5,-1,50,-3215816.0,-1153262.0,-973101.0,-1089453.0,50,314576,20259,47.14
1159,mid_z_revert,mid_z,100,1.0,0.5,-1,100,-3220412.0,-1114063.0,-1073899.0,-1032450.0,100,139703,8440,60.32
1160,mid_z_revert,mid_z,20,1.25,0.0,-1,100,-3238370.0,-1213719.0,-857122.0,-1167529.0,100,178103,10246,68.43
1161,mid_z_revert,mid_z,20,2.0,0.5,-1,150,-3253653.0,-1592168.0,-825689.0,-835796.0,150,265959,15137,18.03
1162,mid_z_trend,mid_z,20,1.0,0.5,1,200,-3263950.0,-119870.0,-1416487.0,-1727593.0,200,535459,29784,34.28
1163,momentum_revert,momentum,100,2.0,0.0,-1,200,-3276367.0,-2053700.0,-2041354.0,818687.0,200,136760,7637,78.89
1164,mid_z_trend,mid_z,10,0.75,0.25,1,100,-3276727.0,-903229.0,-1482611.0,-890887.0,100,473772,27038,47.9
1165,ema_diff_revert,ema_diff,100,1.0,0.0,-1,100,-3286481.0,-1092702.0,-1101840.0,-1091939.0,100,146161,8394,85.12
1166,ema_diff_revert,ema_diff,50,2.0,0.0,-1,100,-3289937.0,-1112182.0,-1110634.0,-1067121.0,100,143213,8269,81.21
1167,mid_z_revert,mid_z,10,1.5,0.0,-1,100,-3312610.0,-1354331.0,-711231.0,-1247048.0,100,224231,12846,49.41
1168,mid_z_trend,mid_z,10,1.25,0.5,1,150,-3314193.0,-588485.0,-1686661.0,-1039047.0,150,532623,29698,23.44
1169,mid_z_trend,mid_z,10,1.25,0.5,1,100,-3324067.0,-838464.0,-1439734.0,-1045869.0,100,455354,26326,33.33
1170,mid_z_revert,mid_z,10,2.0,0.25,-1,100,-3339312.0,-1199854.0,-740161.0,-1399297.0,100,248447,14549,22.3
1171,mid_z_revert,mid_z,100,1.5,0.25,-1,150,-3345795.0,-1512421.0,-1488905.0,-344469.0,150,113048,6454,54.03
1172,mid_z_revert,mid_z,50,1.0,0.5,-1,100,-3352195.0,-1353706.0,-710935.0,-1287554.0,100,219092,13125,57.17
1173,mid_z_revert,mid_z,10,0.75,0.25,-1,50,-3359474.0,-1218445.0,-1011382.0,-1129647.0,50,327640,20337,64.04
1174,mid_z_trend,mid_z,20,1.0,0.5,1,150,-3374967.0,-395464.0,-1470636.0,-1508867.0,150,468905,26200,40.71
1175,mid_z_revert,mid_z,200,0.75,0.5,-1,200,-3397802.0,-2219691.0,-580748.0,-597363.0,200,192503,11004,61.71
1176,momentum_revert,momentum,20,4.0,0.0,-1,150,-3407205.0,-1662672.0,-533574.0,-1210959.0,150,164124,9199,46.62
1177,mid_z_revert,mid_z,20,1.5,0.5,-1,100,-3438465.0,-1590810.0,-920012.0,-927643.0,100,295727,17641,39.07
1178,mid_z_revert,mid_z,100,1.0,0.0,-1,150,-3488380.0,-1416400.0,-1395526.0,-676454.0,150,86382,4828,85.05
1179,mid_z_trend,mid_z,20,0.75,0.5,1,200,-3500761.0,-330336.0,-1637166.0,-1533259.0,200,598190,33217,37.84
1180,mid_z_revert,mid_z,100,1.5,0.5,-1,150,-3511385.0,-1576088.0,-1540786.0,-394511.0,150,131704,7585,47.79
1181,mid_z_trend,mid_z,10,0.75,0.5,1,50,-3515626.0,-1139464.0,-1225017.0,-1151145.0,50,398714,24910,55.65
1182,ema_diff_revert,ema_diff,10,5.0,0.0,-1,150,-3528101.0,-1438649.0,-700679.0,-1388773.0,150,92531,5252,42.57
1183,ema_diff_revert,ema_diff,10,2.0,0.0,-1,100,-3530828.0,-1506976.0,-1135944.0,-887908.0,100,266816,15314,58.6
1184,mid_z_revert,mid_z,10,2.0,0.0,-1,150,-3535453.0,-1668859.0,-532556.0,-1334038.0,150,170662,9641,28.2
1185,mid_z_revert,mid_z,20,1.0,0.25,-1,100,-3549982.0,-1635222.0,-954175.0,-960585.0,100,305017,17845,55.94
1186,momentum_revert,momentum,20,6.0,0.0,-1,200,-3552462.0,-1997073.0,-515084.0,-1040305.0,200,114509,6436,25.3
1187,mid_z_trend,mid_z,20,0.75,0.5,1,150,-3560064.0,-587863.0,-1668332.0,-1303869.0,150,526318,29404,44.45
1188,mid_z_trend,mid_z,10,1.0,0.5,1,150,-3569043.0,-847161.0,-1896351.0,-825531.0,150,604710,33679,27.65
1189,mid_z_revert,mid_z,20,1.25,0.25,-1,100,-3583135.0,-1532745.0,-854385.0,-1196005.0,100,275095,16163,52.03
1190,ema_diff_revert,ema_diff,20,2.0,0.0,-1,100,-3594921.0,-1342289.0,-981147.0,-1271485.0,100,215323,12377,69.72
1191,mid_z_revert,mid_z,100,0.75,0.5,-1,100,-3597223.0,-1240052.0,-1189055.0,-1168116.0,100,179201,10758,65.01
1192,mid_z_revert,mid_z,10,2.0,0.0,-1,200,-3598539.0,-2193008.0,-181873.0,-1223658.0,200,183394,10247,20.75
1193,mid_z_revert,mid_z,10,1.0,0.5,-1,50,-3605690.0,-1295394.0,-1087214.0,-1223082.0,50,355604,22729,51.53
1194,mid_z_revert,mid_z,50,1.5,0.25,-1,150,-3647542.0,-1727573.0,-987731.0,-932238.0,150,184691,10486,50.21
1195,momentum_revert,momentum,10,4.0,0.0,-1,150,-3659713.0,-1709222.0,-1392173.0,-558318.0,150,178169,10054,26.04
1196,mid_z_revert,mid_z,100,1.25,0.0,-1,200,-3666577.0,-1935025.0,-1915752.0,184200.0,200,94414,5259,81.37
1197,mid_z_revert,mid_z,10,2.0,0.25,-1,150,-3670805.0,-1291399.0,-837383.0,-1542023.0,150,276499,15657,12.49
1198,mid_z_trend,mid_z,10,1.0,0.5,1,100,-3675319.0,-1043137.0,-1599989.0,-1032193.0,100,514492,29666,37.64
1199,mid_z_revert,mid_z,10,1.25,0.0,-1,100,-3707672.0,-1493222.0,-852377.0,-1362073.0,100,265292,15203,53.09
1200,mid_z_revert,mid_z,20,0.75,0.0,-1,100,-3762655.0,-1408305.0,-1035569.0,-1318781.0,100,231587,13319,71.69
1201,ema_diff_revert,ema_diff,100,5.0,0.0,-1,150,-3771545.0,-1407169.0,-1388646.0,-975730.0,150,85710,4816,81.96
1202,ema_diff_revert,ema_diff,50,1.0,0.0,-1,100,-3778175.0,-1264018.0,-1282788.0,-1231369.0,100,195189,11221,79.94
1203,mid_z_revert,mid_z,10,2.0,0.5,-1,100,-3809723.0,-1350810.0,-894120.0,-1564793.0,100,299335,17695,16.25
1204,mid_z_revert,mid_z,50,0.75,0.25,-1,100,-3817459.0,-1317193.0,-1265179.0,-1235087.0,100,202601,11979,67.88
1205,mid_z_revert,mid_z,20,1.25,0.5,-1,100,-3835548.0,-1721172.0,-1049562.0,-1064814.0,100,337423,20055,44.16
1206,momentum_revert,momentum,10,4.0,0.0,-1,200,-3836295.0,-2273045.0,-951822.0,-611428.0,200,198633,11130,20.63
1207,mid_z_revert,mid_z,50,2.0,0.5,-1,200,-3884353.0,-2247678.0,-1087658.0,-549017.0,200,187227,10696,26.03
1208,mid_z_revert,mid_z,10,1.5,0.25,-1,100,-3939630.0,-1713710.0,-1012485.0,-1213435.0,100,331077,19326,35.51
1209,mid_z_trend,mid_z,10,0.75,0.5,1,200,-3958369.0,-818879.0,-2335715.0,-803775.0,200,747502,41317,23.84
1210,mid_z_revert,mid_z,50,2.0,0.0,-1,200,-3985867.0,-1915563.0,-932727.0,-1137577.0,200,88655,4928,56.74
1211,mid_z_revert,mid_z,20,2.0,0.5,-1,200,-4010360.0,-2171348.0,-915475.0,-923537.0,200,293999,16633,10.98
1212,mid_z_revert,mid_z,20,2.0,0.25,-1,150,-4022789.0,-1851109.0,-1047578.0,-1124102.0,150,219317,12397,23.52
1213,mid_z_revert,mid_z,10,0.75,0.5,-1,50,-4047624.0,-1447016.0,-1235046.0,-1365562.0,50,402394,25479,55.58
1214,mid_z_revert,mid_z,50,2.0,0.0,-1,150,-4063468.0,-1382465.0,-1384767.0,-1296236.0,150,74785,4181,64.53
